objective,prompt_style,session,model,scenario,summary_path,run_dir,total_shelf_deliveries,steps_executed,llm_calls,llm_failures,llm_missing_or_invalid_actions,elapsed_seconds,max_steps,seed
shelf,natural,session_20260317_183938,llama3.2:1b,tiny_balanced_1v1,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_1b/tiny_balanced_1v1/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_1b/tiny_balanced_1v1/language,0,200,86,0,0,219.19911003112793,1000,0
shelf,natural,session_20260317_183938,llama3.2:1b,medium_balanced_4v4,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_1b/medium_balanced_4v4/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_1b/medium_balanced_4v4/language,0,200,180,0,0,520.5729086399078,1000,0
shelf,natural,session_20260317_183938,llama3.2:3b,small_picker_heavy_2v4,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_3b/small_picker_heavy_2v4/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_3b/small_picker_heavy_2v4/language,0,200,148,0,0,238.47966885566711,1000,0
shelf,natural,session_20260317_183938,llama3.2:3b,small_agv_heavy_4v2,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_3b/small_agv_heavy_4v2/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_3b/small_agv_heavy_4v2/language,0,200,200,0,0,341.70221066474915,1000,0
shelf,natural,session_20260317_183938,llama3.2:3b,small_balanced_2v2,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_3b/small_balanced_2v2/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_3b/small_balanced_2v2/language,2,398,241,0,0,344.79594564437866,1000,0
shelf,natural,session_20260317_183938,llama3.2:3b,medium_agv_heavy_6v2,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_3b/medium_agv_heavy_6v2/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_3b/medium_agv_heavy_6v2/language,0,200,131,0,0,278.46450424194336,1000,0
shelf,natural,session_20260317_183938,llama3.2:3b,tiny_balanced_1v1,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_3b/tiny_balanced_1v1/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_3b/tiny_balanced_1v1/language,1,278,68,0,0,119.89301943778992,1000,0
shelf,natural,session_20260317_183938,llama3.2:3b,medium_balanced_4v4,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_3b/medium_balanced_4v4/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/llama3.2_3b/medium_balanced_4v4/language,0,200,200,0,0,504.5733554363251,1000,0
shelf,natural,session_20260317_183938,phi4,small_picker_heavy_2v4,results/shelf/central_llm_experiments/natural/session_20260317_183938/phi4/small_picker_heavy_2v4/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/phi4/small_picker_heavy_2v4/language,0,200,162,29,0,6477.190263748169,1000,0
shelf,natural,session_20260317_183938,phi4,small_agv_heavy_4v2,results/shelf/central_llm_experiments/natural/session_20260317_183938/phi4/small_agv_heavy_4v2/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/phi4/small_agv_heavy_4v2/language,3,459,315,66,0,13571.398670911789,1000,0
shelf,natural,session_20260317_183938,phi4,small_balanced_2v2,results/shelf/central_llm_experiments/natural/session_20260317_183938/phi4/small_balanced_2v2/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/phi4/small_balanced_2v2/language,2,337,149,1,0,4148.537052869797,1000,0
shelf,natural,session_20260317_183938,phi4,medium_agv_heavy_6v2,results/shelf/central_llm_experiments/natural/session_20260317_183938/phi4/medium_agv_heavy_6v2/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/phi4/medium_agv_heavy_6v2/language,0,200,172,154,0,10092.010999917984,1000,0
shelf,natural,session_20260317_183938,phi4,tiny_balanced_1v1,results/shelf/central_llm_experiments/natural/session_20260317_183938/phi4/tiny_balanced_1v1/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/phi4/tiny_balanced_1v1/language,1,233,114,1,0,2329.1568467617035,1000,0
shelf,natural,session_20260317_183938,phi4,medium_balanced_4v4,results/shelf/central_llm_experiments/natural/session_20260317_183938/phi4/medium_balanced_4v4/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/phi4/medium_balanced_4v4/language,0,200,182,179,0,10998.904066801071,1000,0
shelf,natural,session_20260317_183938,mistral:7b,small_picker_heavy_2v4,results/shelf/central_llm_experiments/natural/session_20260317_183938/mistral_7b/small_picker_heavy_2v4/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/mistral_7b/small_picker_heavy_2v4/language,0,200,84,0,0,341.2003970146179,1000,0
shelf,natural,session_20260317_183938,mistral:7b,small_agv_heavy_4v2,results/shelf/central_llm_experiments/natural/session_20260317_183938/mistral_7b/small_agv_heavy_4v2/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/mistral_7b/small_agv_heavy_4v2/language,0,200,163,0,0,1093.516077041626,1000,0
shelf,natural,session_20260317_183938,mistral:7b,small_balanced_2v2,results/shelf/central_llm_experiments/natural/session_20260317_183938/mistral_7b/small_balanced_2v2/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/mistral_7b/small_balanced_2v2/language,1,370,213,0,0,948.4999520778656,1000,0
shelf,natural,session_20260317_183938,mistral:7b,medium_agv_heavy_6v2,results/shelf/central_llm_experiments/natural/session_20260317_183938/mistral_7b/medium_agv_heavy_6v2/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/mistral_7b/medium_agv_heavy_6v2/language,0,200,200,0,0,2145.6248116493225,1000,0
shelf,natural,session_20260317_183938,mistral:7b,tiny_balanced_1v1,results/shelf/central_llm_experiments/natural/session_20260317_183938/mistral_7b/tiny_balanced_1v1/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/mistral_7b/tiny_balanced_1v1/language,0,200,186,0,0,380.47729301452637,1000,0
shelf,natural,session_20260317_183938,mistral:7b,medium_balanced_4v4,results/shelf/central_llm_experiments/natural/session_20260317_183938/mistral_7b/medium_balanced_4v4/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/mistral_7b/medium_balanced_4v4/language,0,200,184,0,1,1400.4892225265503,1000,0
shelf,natural,session_20260317_183938,gemma3:12b,small_picker_heavy_2v4,results/shelf/central_llm_experiments/natural/session_20260317_183938/gemma3_12b/small_picker_heavy_2v4/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/gemma3_12b/small_picker_heavy_2v4/language,0,200,96,0,0,913.8501534461975,1000,0
shelf,natural,session_20260317_183938,gemma3:12b,small_agv_heavy_4v2,results/shelf/central_llm_experiments/natural/session_20260317_183938/gemma3_12b/small_agv_heavy_4v2/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/gemma3_12b/small_agv_heavy_4v2/language,0,200,141,3,0,1419.0148904323578,1000,0
shelf,natural,session_20260317_183938,gemma3:12b,small_balanced_2v2,results/shelf/central_llm_experiments/natural/session_20260317_183938/gemma3_12b/small_balanced_2v2/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/gemma3_12b/small_balanced_2v2/language,0,200,127,0,0,1150.1847701072693,1000,0
shelf,natural,session_20260317_183938,gemma3:12b,medium_agv_heavy_6v2,results/shelf/central_llm_experiments/natural/session_20260317_183938/gemma3_12b/medium_agv_heavy_6v2/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/gemma3_12b/medium_agv_heavy_6v2/language,0,200,184,1,0,2835.0268371105194,1000,0
shelf,natural,session_20260317_183938,gemma3:12b,tiny_balanced_1v1,results/shelf/central_llm_experiments/natural/session_20260317_183938/gemma3_12b/tiny_balanced_1v1/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/gemma3_12b/tiny_balanced_1v1/language,1,283,94,0,0,764.6000277996063,1000,0
shelf,natural,session_20260317_183938,gemma3:12b,medium_balanced_4v4,results/shelf/central_llm_experiments/natural/session_20260317_183938/gemma3_12b/medium_balanced_4v4/language/summary.json,results/shelf/central_llm_experiments/natural/session_20260317_183938/gemma3_12b/medium_balanced_4v4/language,0,200,179,0,0,1959.8364417552948,1000,0
